time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0.48,0.100319,0.0375796,0.0103613,0.595278,1.03961,-0.0261749,0.333566,-0.119583,-0.109332,-0.243072,0.0848074,0.0238539,-0.495283,-0.0443016,0.00923002,0.0876248,-0.0837227,-0.0132792
0.49,0.0929078,0.0472449,0.0178247,0.594737,1.03714,-0.0261071,0.335216,-0.127918,-0.106765,-0.252259,0.0924946,0.0246796,-0.430894,-0.0350653,0.0153467,0.0992761,-0.084124,-0.0109844
0.5,0.0933895,0.0471034,0.0188765,0.593527,1.03711,-0.0254426,0.310432,-0.123729,-0.108547,-0.263304,0.0897353,0.0278325,-0.324668,-0.0333157,-0.0238835,0.0844176,-0.0800344,4.33989e-05
0.51,0.0898659,0.0513778,0.0174849,0.592997,1.03414,-0.0246389,0.320318,-0.124965,-0.111313,-0.27553,0.0937438,0.0258222,-0.288826,-0.0263006,-0.00744273,0.0995047,-0.0856356,-0.00088329
0.52,0.0836628,0.0569905,0.0234839,0.59249,1.03133,-0.024727,0.321892,-0.129595,-0.0983351,-0.285208,0.0970953,0.0294084,-0.233961,-0.0191732,0.00697777,0.111047,-0.0800917,0.00265332
0.53,0.088347,0.0657652,0.0231891,0.591458,1.03027,-0.0241843,0.293358,-0.135298,-0.0929066,-0.301603,0.10416,0.0331902,-0.133969,-0.0204605,-0.0260082,0.106313,-0.0673248,0.0124317
0.54,0.0835157,0.0673783,0.0266684,0.591294,1.02722,-0.0238491,0.300697,-0.135687,-0.0896792,-0.311732,0.103995,0.0322509,-0.102053,-0.0157214,-0.00582272,0.117964,-0.0689555,0.0120383
0.55,0.0793867,0.0699831,0.0257349,0.591156,1.0246,-0.023177,0.302513,-0.136518,-0.0752498,-0.320905,0.105117,0.0379573,-0.064125,-0.013193,0.00820594,0.125862,-0.061407,0.0165669
0.56,0.077173,0.0747202,0.0268747,0.59086,1.02225,-0.0227975,0.300947,-0.141292,-0.0609992,-0.3318,0.108291,0.0377066,-0.0282242,-0.0112066,0.0145707,0.134146,-0.052739,0.018111
0.57,0.0776679,0.0751507,0.0290184,0.589382,1.02039,-0.0227443,0.310264,-0.140945,-0.0607105,-0.341091,0.107557,0.0377309,-0.0230247,-0.0158283,0.015114,0.133582,-0.0526212,0.018245
0.58,0.073603,0.0800663,0.0331149,0.588979,1.01785,-0.0221274,0.306368,-0.14634,-0.0470327,-0.349879,0.108296,0.0463312,0.00955017,-0.015996,0.0247356,0.143992,-0.0444047,0.0241293
0.59,0.0715683,0.0810585,0.0343953,0.588819,1.01601,-0.0215671,0.311811,-0.146181,-0.0468843,-0.357974,0.10736,0.0464542,0.0125964,-0.0201495,0.0245728,0.143619,-0.0442656,0.0242988
0.6,0.0682924,0.0826527,0.0353384,0.589522,1.01443,-0.0204458,0.315087,-0.1456,-0.0465004,-0.365149,0.106313,0.0467043,0.0143237,-0.0238357,0.0240998,0.143458,-0.0439653,0.0245054
0.61,0.0644651,0.0844023,0.0362709,0.590289,1.01265,-0.0191743,0.316994,-0.144784,-0.0459007,-0.371733,0.105163,0.0471001,0.0148155,-0.0272904,0.0230325,0.143428,-0.0435017,0.0247712
0.62,0.07039,0.0841144,0.0424466,0.590339,1.01228,-0.0180894,0.314281,-0.145841,-0.0378532,-0.384781,0.0983676,0.0562677,-0.00167174,-0.0379245,-0.000998357,0.148623,-0.0373851,0.0300806
0.63,0.077191,0.0845695,0.0431894,0.590873,1.01183,-0.0163359,0.31093,-0.142608,-0.0411417,-0.397682,0.0944809,0.0652655,-0.021415,-0.0526748,-0.0204613,0.153204,-0.0407415,0.0355526
0.64,0.0802845,0.0837075,0.0528138,0.591796,1.01141,-0.0148479,0.307032,-0.141627,-0.0415733,-0.407028,0.0861553,0.0682066,-0.0408227,-0.065681,-0.0348889,0.156392,-0.0439374,0.0376966
0.65,0.0859453,0.0807024,0.0532806,0.592809,1.01132,-0.0127747,0.305326,-0.134736,-0.0466531,-0.415753,0.0785176,0.0775496,-0.0666448,-0.0839121,-0.0526657,0.156521,-0.0508029,0.0443755
0.66,0.0872663,0.0784775,0.0639558,0.594175,1.01124,-0.0115816,0.302654,-0.132852,-0.0464099,-0.421711,0.0689282,0.0789262,-0.088844,-0.0981898,-0.0663611,0.157343,-0.0545803,0.0463569
0.67,0.0910207,0.0750493,0.0602639,0.595533,1.01153,-0.00941952,0.301924,-0.124563,-0.0502914,-0.427048,0.0636094,0.0879785,-0.114444,-0.119228,-0.0814342,0.151363,-0.0605366,0.0534941
0.68,0.0941589,0.0722936,0.0708384,0.596644,1.0123,-0.00795591,0.299543,-0.122355,-0.0469835,-0.430986,0.0529631,0.0879322,-0.14333,-0.140728,-0.0958644,0.145711,-0.0634138,0.0551311
0.69,0.104911,0.0649845,0.0757235,0.598122,1.01359,-0.00601607,0.300459,-0.111671,-0.0494962,-0.430752,0.0398919,0.0891599,-0.194254,-0.186881,-0.0998019,0.138968,-0.0810702,0.0613799
0.7,0.105076,0.0605228,0.0697618,0.600532,1.01432,-0.00411847,0.298446,-0.102875,-0.0481566,-0.430161,0.0363424,0.0960338,-0.214151,-0.211765,-0.0977676,0.130276,-0.0869029,0.0694162
0.71,0.113897,0.0558631,0.0835594,0.602061,1.01446,-0.00318606,0.302384,-0.0973114,-0.0440812,-0.411756,0.0225895,0.077266,-0.275512,-0.291892,-0.0734276,0.149113,-0.118155,0.0871439
0.72,0.113523,0.0524225,0.077485,0.60407,1.01585,-0.000908073,0.297268,-0.0898914,-0.0365188,-0.408157,0.0193539,0.0861272,-0.287764,-0.316251,-0.0820616,0.126227,-0.11305,0.0983788
0.73,0.120098,0.0517196,0.0798117,0.605712,1.01794,0.00104732,0.285508,-0.0868658,-0.0315875,-0.397489,0.0142729,0.0809959,-0.307268,-0.366451,-0.0845745,0.0868463,-0.112311,0.103927
0.74,0.118838,0.0505652,0.0845651,0.606334,1.01728,0.00279688,0.28527,-0.0844813,-0.0411675,-0.350536,0.00524714,0.0465459,-0.33369,-0.477134,-0.0604018,0.100596,-0.12286,0.131998
0.75,0.121967,0.0454917,0.0776301,0.608494,1.01906,0.00543631,0.275998,-0.0747536,-0.0354572,-0.339991,0.000632121,0.0529944,-0.345808,-0.514795,-0.0637922,0.0574777,-0.116559,0.143319
0.76,0.128641,0.0476704,0.0842242,0.60987,1.02118,0.00651898,0.257226,-0.0759386,-0.0354447,-0.31794,-0.00702988,0.0334348,-0.35417,-0.576861,-0.0520571,0.00598847,-0.116905,0.142042
