time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0.83,-4.99467,-2.71371,-5.59025,-0.479325,0.133957,0.882564,4.5872,2.88955,-6.56943,7.18375,4.10781,10.0382,3.22488,2.22668,-6.60925,22.7174,1.06288,-3.44389
0.84,23.2217,32.9901,-3.62952,-0.928847,2.45958,-1.39969,-22.7102,-33.3496,19.2159,-31.0575,33.1416,-2.1559,-8.82762,19.3924,-10.8846,12.311,-7.32876,34.9644
0.85,11.9181,17.6774,4.36811,-0.43252,0.682998,-1.15724,-14.8954,-17.5391,14.343,-16.6804,12.8877,-8.26663,1.25404,13.4912,7.07433,7.68019,-5.56205,12.565
0.86,-14.8706,-19.7036,2.64283,0.532863,-1.58205,0.483649,12.3374,19.8042,-7.85215,16.3456,-16.8833,3.35038,11.3101,3.30083,10.8896,11.4173,3.94259,-25.9714
0.87,-17.3552,-21.2773,-0.0842917,0.457582,-0.965932,0.135548,14.2545,20.5255,-7.72838,18.5051,-6.78611,21.4078,12.8872,5.82544,-7.54944,21.0131,10.0838,-35.0226
0.88,-1.55448,0.043309,-1.98948,-0.714767,0.420788,-0.299946,0.471819,-0.751071,-2.07811,2.41095,10.1899,13.6471,2.44512,9.41956,-12.9079,4.60392,2.46893,-5.39212
0.89,19.4682,25.0532,-2.15499,-1.16859,1.09005,-0.100645,-13.3163,-25.3883,2.89457,-20.0027,11.4913,-23.7543,-19.2976,9.85492,2.03794,-27.0878,-13.1586,54.8989
0.9,8.73655,9.31415,0.328183,0.357905,0.393939,0.246972,-2.52653,-8.77591,3.83548,-17.6395,-1.80141,-17.2728,-14.6805,19.8332,7.12133,-14.0373,-7.28814,35.9725
0.91,-14.4066,-13.6427,2.73962,1.09587,-1.1395,-0.360204,8.4725,13.6944,3.74417,6.36406,-3.34146,16.2101,16.9111,15.301,1.21923,21.8887,9.59851,-19.8119
0.92,-7.4929,-3.55171,1.33316,-0.513703,-1.40447,-0.863061,-0.806561,2.25301,2.64879,12.5121,4.47427,10.9902,18.6745,-5.12162,0.127467,16.3651,6.63798,-14.2686
0.93,5.64405,5.01855,-4.38292,-0.757979,0.21308,0.137493,-4.33343,-5.68215,-4.91286,-2.32357,3.41438,-3.74132,-4.41119,4.78375,-2.87864,-12.9738,-4.06634,16.2652
0.94,2.4835,1.02143,-2.88365,-0.000897689,0.11554,0.398023,-0.103863,-0.953698,-4.00775,-5.4727,-0.156415,-1.78827,-4.94181,13.574,-2.34613,-10.47,-2.63657,13.71
