time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0.45,0.011744,-0.027684,0.0709251,-0.0239211,-0.0115708,0.00275263,-0.0900244,0.0508854,-0.144608,-0.394464,-0.0679698,-0.0780596,1.29839,0.377866,-0.222424,-0.0696059,-0.237391,0.159325
0.46,0.116331,-0.152634,0.127866,-0.0196119,0.00306779,0.00208433,-0.313146,0.207341,-0.165521,-0.566995,-0.228678,-0.0953873,1.43896,0.539999,-0.41566,-0.216143,-0.419487,0.265446
0.47,0.0289426,0.136356,0.00194499,-0.0267343,-0.0238144,0.000845885,-0.077335,-0.0936664,0.0428759,-0.316329,0.126243,0.00404939,1.19842,0.172474,-0.114674,0.0364443,-0.202599,0.131245
0.48,-0.0937749,0.341987,-0.0938197,-0.0289505,-0.0507316,0.00304498,0.200229,-0.321744,0.0791149,-0.0713763,0.3883,0.0680216,0.976782,-0.127583,0.154576,0.251518,0.00464133,-0.0117148
0.49,-0.117557,0.177747,1.25807e-05,-0.01258,-0.0532176,0.00685371,0.174941,-0.160531,-0.0964442,-0.171535,0.182495,0.00496893,0.999574,0.0889971,0.163476,0.244443,-0.0649349,0.00126756
0.5,-0.0838415,0.0358973,0.122895,-0.00753519,-0.0315975,0.0072704,-0.152774,0.00651944,-0.0654314,-0.252986,-0.021516,-0.00450963,1.48174,0.231962,-0.177837,0.0450384,-0.0322205,0.108383
0.51,-0.0187347,0.0187469,0.0551424,-0.0183556,-0.0151546,0.0120152,-0.328763,0.0582162,0.01442,-0.22264,-0.0336666,0.0324942,1.69659,0.0964906,-0.444578,-0.120999,0.0414886,0.157482
0.52,-0.0515216,0.0797538,-0.021944,-0.0156188,-0.0461885,0.0117299,0.0398765,-0.0223392,0.065212,-0.200291,0.0669563,0.0201992,0.958522,0.0587669,0.12786,0.162578,0.00271748,0.0410017
0.53,-0.0681244,0.156006,0.0467942,-0.00980003,-0.058772,0.00293361,0.0311619,-0.133296,0.187096,-0.231723,0.133811,0.0469181,0.956101,0.0949616,0.266464,0.275499,0.106003,0.0424128
0.54,0.0100304,0.134199,0.0690171,-0.0119961,-0.0347563,0.00414633,-0.341294,-0.10157,0.155632,-0.272116,0.0891656,0.0605375,1.5387,0.0384198,-0.264361,0.0254685,0.197513,0.136198
0.55,-0.0333119,0.0341236,0.0193369,-0.00606025,-0.0417752,0.0115056,-0.0940831,0.00570065,0.100259,-0.213464,-0.00224255,0.0319626,0.966247,0.033107,0.0344494,0.0648008,0.0712794,0.0736929
